V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q7,Q3,Q4,Q5_1_TEXT,Q5_2_TEXT,Q5_3_TEXT,Q5_4_TEXT,Q5_5_TEXT,Q6,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,The following questions will ask you about preferences for images. Please choose the answer that...,Graphical passwords often require users to complete a sequence of images through selecting from a...,How long would you be willing to allow your password entering time to be if it was guaranteed to...,This is an example of the PassFaces Password System.  Users are required to choose one face to re...,"Not all graphical passwords feature discernible objects, sometimes to avoid object bias, they ten...","Before you leave, let us know more about you! This will help with looking for relationships betwe...-Year","Before you leave, let us know more about you! This will help with looking for relationships betwe...-Type of Mobile Device if Applicable","Before you leave, let us know more about you! This will help with looking for relationships betwe...-Ethnicity","Before you leave, let us know more about you! This will help with looking for relationships betwe...-Favorite Color","Before you leave, let us know more about you! This will help with looking for relationships betwe...-Favorite type of animal",Thank you so much for answering! Have an awesome rest of the term!,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2XmVoAcvVmpMs6d,Default Response Set,Anonymous,,,129.170.194.178,0,2016-05-18 13:52:06,2016-05-18 13:53:09,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Bottom Right,"2,2",2016,iOS,Asian American,Blue,Panda,1,43.722595214844,-72.134201049805,-1,
R_2zSDlIbZXKmpl88,Default Response Set,Anonymous,,,129.170.194.179,0,2016-05-18 13:52:17,2016-05-18 13:53:28,1,1,Enter your password on several changing screens,1-5 seconds longer than it currently takes,Middle Left,"3,2",'17,iphone,white,red,dog,1,43.722595214844,-72.134201049805,-1,
R_3JaPtK3JVRcPjpc,Default Response Set,Anonymous,,,129.170.194.180,0,2016-05-18 13:52:33,2016-05-18 13:54:07,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Bottom Left,"2,5",2019,iphone,,blue,dog,1,43.722595214844,-72.134201049805,-1,
R_2QFMCAKNgIoOHcy,Default Response Set,Anonymous,,,129.170.194.178,0,2016-05-18 13:52:26,2016-05-18 13:54:46,1,1,Enter your password on several changing screens,1-5 seconds longer than it currently takes,Top Right,5,2018,Phone,White,Navy,Fish,1,43.722595214844,-72.134201049805,-1,
R_3r2lXHGQIMLRC5R,Default Response Set,Anonymous,,,129.170.194.184,0,2016-05-18 13:52:58,2016-05-18 13:55:03,1,1,Enter your password on a single static (unchanging) screen,6-10 seconds longer than it currently takes,Top Middle,"Entry 2,5",2019,iPhone,,Green,llama,1,43.722595214844,-72.134201049805,-1,
R_2rPLEX7T0Q7CcqI,Default Response Set,Anonymous,,,129.170.195.185,0,2016-05-18 13:52:47,2016-05-18 13:55:10,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Right,"3,5",2019,Android,White,Purple,Crow,1,43.722595214844,-72.134201049805,-1,
R_1fmfMqicL9XBiec,Default Response Set,Anonymous,,,129.170.194.177,0,2016-05-18 13:52:24,2016-05-18 13:55:31,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Middle Left,"1,4",4,android,white,blue,dog,1,43.722595214844,-72.134201049805,-1,
R_3n6GTGIU1Vh6fUZ,Default Response Set,Anonymous,,,129.170.194.190,0,2016-05-18 13:52:54,2016-05-18 13:56:41,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Middle,"2,2",2019,iPhone,White,Purple,Elves,1,43.722595214844,-72.134201049805,-1,
R_2ZNxJu9b3puqABG,Default Response Set,Anonymous,,,129.170.194.170,0,2016-05-18 13:52:50,2016-05-18 13:57:02,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Middle Left,"2,3",1996,Android,White,Gold,Mandres,1,43.722595214844,-72.134201049805,-1,
R_3pnBMqQdYO1U5JZ,Default Response Set,Anonymous,,,129.170.195.185,0,2016-05-18 13:54:53,2016-05-18 13:57:05,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Bottom Right,"2,2",2017,Iphone,White,Blue,Why do you need to know this lol,1,43.722595214844,-72.134201049805,-1,
R_2t5PR4MYWMsgJz2,Default Response Set,Anonymous,,,129.170.195.146,0,2016-05-18 13:54:38,2016-05-18 13:57:54,1,1,Enter your password on a single static (unchanging) screen,As long as needed,Bottom Middle,"3, 1",2019,iPhone,Asian,Red,Dog,1,43.722595214844,-72.134201049805,-1,
R_AnAbrx8SSXeHUEp,Default Response Set,Anonymous,,,129.170.194.162,0,2016-05-18 13:57:55,2016-05-18 14:00:49,1,1,Enter your password on several changing screens,6-10 seconds longer than it currently takes,Top Middle,"2,4",2018,iPhone 6,White,Blue,Otter,1,43.722595214844,-72.134201049805,-1,
R_3McgNLXCgYFCZpL,Default Response Set,Anonymous,,,198.71.7.225,0,2016-05-18 13:53:02,2016-05-18 14:01:11,1,1,Enter your password on a single static (unchanging) screen,6-10 seconds longer than it currently takes,Bottom Right,"3,1",2017,,,,,1,42.380004882812,-71.13289642334,-1,
R_881ISQWBzzLlK1P,Default Response Set,Anonymous,,,129.170.194.167,0,2016-05-18 13:59:23,2016-05-18 14:01:51,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Bottom Right,"2,1",19,iPhone ,White,Blie,Elephant,1,43.722595214844,-72.134201049805,-1,
R_2wi7KpEbNVyWMut,Default Response Set,Anonymous,,,129.170.194.179,0,2016-05-18 13:55:55,2016-05-18 14:02:21,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Right,"2, 3",2019,iPhone,white,blue,panda,1,43.722595214844,-72.134201049805,-1,
R_1hS7y9a2hFxpl6Y,Default Response Set,Anonymous,,,129.170.194.169,0,2016-05-18 14:01:13,2016-05-18 14:03:06,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Bottom Left,"2,1",19,OnePlus Two,White/Asian,Red,Sloth,1,43.722595214844,-72.134201049805,-1,
R_03do1YxcovSdJ6h,Default Response Set,Anonymous,,,129.170.194.184,0,2016-05-18 14:02:08,2016-05-18 14:04:20,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Middle Left,"1,4",17,Iphone,White/jewish,N/A,Turtle,1,43.722595214844,-72.134201049805,-1,
R_2zMvOgxTxuGu17v,Default Response Set,Anonymous,,,129.170.194.188,0,2016-05-18 14:04:42,2016-05-18 14:06:39,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Top Right,"1,2",2016,iphone,Indian,black,amor leopard,1,43.722595214844,-72.134201049805,-1,
R_1N5iTNy9oPEgg7V,Default Response Set,Anonymous,,,129.170.194.169,0,2016-05-18 14:08:13,2016-05-18 14:09:17,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Right,"1,3",2019,Android,Asian,Blue,Pig,1,43.722595214844,-72.134201049805,-1,
R_3kdGDLuJJhEV6SX,Default Response Set,Anonymous,,,129.170.194.175,0,2016-05-18 14:14:50,2016-05-18 14:18:07,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Middle Left,"3,3",2019,Tablet,White ,Red,Dog,1,43.722595214844,-72.134201049805,-1,
R_RmcW8Z78MlKamcx,Default Response Set,Anonymous,,,129.170.194.161,0,2016-05-18 14:14:52,2016-05-18 14:18:40,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Left,"3, 2",2019,iPhone,,Green,Elephant,1,43.722595214844,-72.134201049805,-1,
R_3HqB0huaeCLIRvx,Default Response Set,Anonymous,,,129.170.194.162,0,2016-05-18 14:17:02,2016-05-18 14:19:03,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Bottom Left,"2,1",19,Iphone,White,Red,Zebra,1,43.722595214844,-72.134201049805,-1,
R_3MzzSojWNyuQ0SV,Default Response Set,Anonymous,,,129.170.194.163,0,2016-05-18 13:53:08,2016-05-18 14:21:37,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Middle Right,"1,3",2015,iPhone ,Latinx,Blue,moose,1,43.722595214844,-72.134201049805,-1,
R_2B3w5iIiHRMsqdq,Default Response Set,Anonymous,,,129.170.194.191,0,2016-05-18 14:22:06,2016-05-18 14:25:14,1,1,Enter your password on a single static (unchanging) screen,11-30 seconds longer than it currently takes,Bottom Left,"2,1",2019,iPhone 6,Black,Turquoise,Amphibians,1,43.722595214844,-72.134201049805,-1,
R_NUDfsETxN5S2xTb,Default Response Set,Anonymous,,,129.170.194.190,0,2016-05-18 14:24:51,2016-05-18 14:29:09,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Middle Right,"3,1",19,android,black,"black, purple",puppy,1,43.722595214844,-72.134201049805,-1,
R_2AHKvtUkPhYDdvY,Default Response Set,Anonymous,,,129.170.194.171,0,2016-05-18 15:15:25,2016-05-18 15:17:08,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Right,"2,5",2018,iPhone,White,Green,Cheetah,1,43.722595214844,-72.134201049805,-1,
R_Cda0eAH4N3v2XUl,Default Response Set,Anonymous,,,129.170.194.179,0,2016-05-18 16:13:32,2016-05-18 16:14:45,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Top Left,"3,1",2018,iPhone,Asian,Green,Dog,1,43.722595214844,-72.134201049805,-1,
R_26a8IANrSyt8U0r,Default Response Set,Anonymous,,,129.170.194.181,0,2016-05-18 16:36:36,2016-05-18 16:39:10,1,1,Enter your password on a single static (unchanging) screen,No longer than it currently takes,Top Right,"2,1",16,iOS,White,Orange,Wolf,1,43.722595214844,-72.134201049805,-1,
R_2agA6lm5LtgWtHG,Default Response Set,Anonymous,,,129.170.194.160,0,2016-05-18 16:54:59,2016-05-18 16:56:53,1,1,Enter your password on a single static (unchanging) screen,1-5 seconds longer than it currently takes,Middle Left,"1,1",2018,Iphone,Hispanic,Blue,Dog,1,43.722595214844,-72.134201049805,-1,
